,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Chip10,1000.0,989.58,979.52,970.3,960.4,949.96,938.96,929.12,917.48,906.66,895.72,886.96,875.26,863.76,853.7,842.82,830.56,818.94,809.86,798.02,787.9,776.44,764.02,753.56,744.2,734.72,724.62,711.84,701.7,691.16,680.22,669.82,657.76,645.06,633.9,623.38,612.99,602.57,590.71,579.35,569.79,559.37,548.18,537.05,526.94,515.98,505.3,495.26,484.93,474.47,462.47,451.45,442.34,431.34,420.37,412.25,401.22,392.56,383.16,373.39,363.19,353.9,344.94,334.68,325.61,316.53,306.54,297.9,289.85,282.25,272.47,264.82,255.78,246.45,238.71,230.99,222.54,215.58,208.47,201.62,193.54,188.73,181.9,175.85,170.34,165.03,159.81,153.62,147.66,143.1,139.62,135.86,129.9,125.28,121.23,118.13,113.32,108.03,104.2,100.48,96.47,92.99,89.47,85.35,81.72,79.12,76.16,72.31,69.22,66.76,63.87,60.89,57.9,55.1,52.65,49.65,47.79,45.92,43.58,40.99,38.73,37.19,35.41,33.77,32.39,31.37,30.51,28.91,28.82,27.73,26.98,26.93,25.94,24.77,23.86,22.93,21.97,21.27,21.02,20.66,20.0,19.07,18.08,17.1,16.33,15.85,14.91,14.37,13.69,12.92,12.42,11.87,11.29,10.65,9.99,9.76,9.39,8.85,8.51,8.43,8.05,7.87,7.45,7.08,6.93,6.91,7.03,6.85,6.69,6.51,6.05,5.63,5.49,5.29,4.95,5.01,4.89,4.95,4.55,4.59,4.47,4.41,4.37,4.05,3.89,3.74,3.42,3.34,3.38,3.26,3.13,3.14,2.83,2.67,2.49,2.21,2.18,2.23,2.11,2.05,1.96
chip20,1000.0,973.72,955.72,938.28,915.0,891.36,872.44,850.04,830.12,806.88,786.92,768.12,744.34,725.88,700.52,677.46,655.6,632.42,606.52,585.92,567.56,546.4,530.38,510.36,492.4,471.3,452.04,431.72,411.82,391.68,373.64,355.1,337.18,323.74,309.94,295.86,281.14,269.2,257.98,243.86,233.4,222.78,211.94,199.7,190.22,180.26,172.56,164.08,154.34,145.96,137.0,130.46,124.4,116.36,108.32,99.6,94.3,88.3,82.82,77.44,72.18,67.92,63.0,60.74,56.14,51.48,49.1,46.74,44.0,40.62,39.26,36.76,35.06,33.12,30.72,28.38,26.54,25.32,23.94,22.42,20.98,19.34,17.66,16.12,14.64,13.7,13.58,12.62,12.22,11.84,12.0,11.84,11.64,10.82,10.08,9.42,9.24,8.16,7.66,7.16,6.52,5.86,5.64,5.32,4.94,4.6,4.42,4.0,4.32,4.28,4.04,3.72,3.28,3.36,3.18,3.16,3.16,3.04,2.74,2.66,2.58,2.46,2.3,2.22,2.22,2.18,2.06,1.82,1.7,1.66,1.46,1.34,1.26,1.38,1.38,1.1,1.1,1.02,1.06,1.02,0.94,0.86,0.9,0.94,1.1,1.1,0.98,0.9,0.86,0.68,0.56,0.48,0.48,0.48,0.32,0.22,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip50,1000.0,942.6,888.4,833.15,783.85,730.75,678.85,619.0,568.15,527.75,490.6,453.25,416.2,387.7,359.25,328.1,300.45,277.65,257.65,241.6,223.05,205.85,186.65,171.85,155.25,145.5,128.9,118.9,113.8,107.55,100.45,96.05,88.6,83.6,79.35,71.5,68.25,64.4,58.95,56.25,49.65,46.4,40.35,35.65,30.8,26.9,23.55,22.15,18.4,15.9,15.55,13.5,12.35,11.2,10.0,9.5,8.55,7.95,7.1,6.6,6.35,6.35,6.85,6.25,6.05,5.65,4.9,4.2,3.4,3.0,2.95,2.6,2.8,2.3,2.2,2.3,2.7,2.5,2.0,1.8,1.4,1.4,1.8,1.7,1.8,1.8,1.8,1.8,1.5,1.3,0.9,0.5,0.35,0.35,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip100,1000.0,885.1,784.4,691.0,617.2,532.8,496.0,441.9,389.1,348.5,308.4,278.3,244.2,215.9,190.8,170.6,161.9,145.8,133.8,115.2,103.6,94.0,83.7,77.5,73.5,67.7,62.1,57.5,54.4,51.8,48.4,46.5,44.0,42.1,37.2,36.8,33.7,31.2,31.6,29.5,26.9,24.4,22.5,20.8,18.6,17.4,16.0,13.2,11.1,9.6,7.7,6.1,5.4,5.0,4.9,4.1,3.1,2.2,1.8,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip200,1000.0,810.0,628.0,527.6,454.4,396.0,356.4,308.4,267.2,233.6,204.8,175.6,156.4,146.4,124.8,106.0,97.2,85.6,83.6,74.4,65.2,52.8,49.6,38.4,36.4,30.8,26.8,25.2,23.6,22.0,22.8,22.4,21.6,20.4,18.8,17.2,16.0,14.8,15.6,13.2,12.8,12.8,13.6,13.6,13.2,12.8,10.0,8.8,6.4,4.0,2.8,1.6,0.8,1.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip500,1000.0,628.0,483.5,350.0,296.0,264.5,218.5,189.0,171.5,160.0,143.0,142.5,133.0,122.5,121.0,112.0,104.0,102.0,108.0,108.0,99.0,103.0,88.0,81.5,72.5,59.0,59.5,52.0,44.0,42.0,42.5,40.5,36.0,34.0,31.0,29.0,22.0,19.0,13.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
